ticker,name,sector,cap_band,market_cap,market_cap_b,d_setup,d_countdown,d_setup9_buy,d_setup9_sell,d_cd13_buy,d_cd13_sell,w_setup,w_countdown,w_setup9_buy,w_setup9_sell,w_cd13_buy,w_cd13_sell
ACGL,Arch Capital Group,Financials,large,34465832960,34.47,1,0,False,False,False,False,-2,0,False,False,False,False
ADM,Archer Daniels Midland,Consumer Staples,large,35578314752,35.58,6,0,False,False,False,False,-1,0,False,False,False,False
ARES,Ares Management,Financials,large,33896073216,33.9,-2,0,False,False,False,False,-2,0,False,False,False,False
ANET,Arista Networks,Information Technology,large,159526240256,159.53,-9,-1,False,True,False,False,-2,0,False,False,False,False
AJG,Arthur J. Gallagher & Co.,Financials,large,55947530240,55.95,1,0,False,False,False,False,-2,0,False,False,False,False
AIZ,Assurant,Financials,large,10930703360,10.93,1,0,False,False,False,False,-2,0,False,False,False,False
T,AT&T,Communication Services,large,198326353920,198.33,9,1,True,False,False,False,3,0,False,False,False,False
ATO,Atmos Energy,Utilities,large,31262996480,31.26,2,0,False,False,False,False,-3,0,False,False,False,False
ADSK,Autodesk,Information Technology,large,50472960000,50.47,4,0,False,False,False,False,4,6,False,False,False,False
ADP,Automatic Data Processing,Industrials,large,82511585280,82.51,5,0,False,False,False,False,13,5,False,False,False,False
AZO,AutoZone,Consumer Discretionary,large,56339542016,56.34,-2,0,False,False,False,False,-1,0,False,False,False,False
AVB,AvalonBay Communities,Real Estate,large,23507593216,23.51,-10,-2,False,False,False,False,-2,0,False,False,False,False
AVY,Avery Dennison,Materials,large,13188963328,13.19,1,0,False,False,False,False,-2,0,False,False,False,False
AXON,Axon Enterprise,Industrials,large,33188962304,33.19,15,0,False,False,False,False,4,0,False,False,False,False
BKR,Baker Hughes,Energy,large,59882311680,59.88,1,10,False,False,False,False,-3,-4,False,False,False,False
BALL,Ball Corporation,Materials,large,15961198592,15.96,-9,-1,False,True,False,False,-2,-9,False,False,False,False
BAC,Bank of America,Financials,large,354384576512,354.38,-9,-1,False,True,False,False,-3,0,False,False,False,False
BAX,Baxter International,Health Care,mid,8611092480,8.61,-5,0,False,False,False,False,-1,-5,False,False,False,False
BDX,Becton Dickinson,Health Care,large,55978213376,55.98,1,0,False,False,False,False,-1,-8,False,False,False,False
BBY,Best Buy,Consumer Discretionary,large,13515014144,13.52,3,0,False,False,False,False,-2,8,False,False,False,False
TECH,Bio-Techne,Health Care,mid,8312364032,8.31,-9,-1,False,True,False,False,-2,0,False,False,False,False
BIIB,Biogen,Health Care,large,26026156032,26.03,1,0,False,False,False,False,7,0,False,False,False,False
BLK,BlackRock,Financials,large,150340222976,150.34,-5,0,False,False,False,False,-3,0,False,False,False,False
BX,Blackstone Inc.,Financials,large,138176724992,138.18,-5,0,False,False,False,False,-3,0,False,False,False,False
XYZ,"Block, Inc.",Financials,large,36326215680,36.33,-5,-11,False,False,False,False,-2,0,False,False,False,False
BK,BNY Mellon,Financials,large,85167243264,85.17,-10,-2,False,False,False,False,-3,-5,False,False,False,False
BA,Boeing,Industrials,large,163628466176,163.63,-9,-1,False,True,False,False,-2,-4,False,False,False,False
BKNG,Booking Holdings,Consumer Discretionary,large,135198621696,135.2,-2,0,False,False,False,False,-2,0,False,False,False,False
BSX,Boston Scientific,Health Care,large,93361520640,93.36,-2,0,False,False,False,False,14,0,False,False,False,False
BMY,Bristol Myers Squibb,Health Care,large,121687425024,121.69,1,13,False,False,True,False,-2,0,False,False,False,False
AVGO,Broadcom,Information Technology,large,1491367493632,1491.37,-9,-1,False,True,False,False,-2,0,False,False,False,False
BR,Broadridge Financial Solutions,Industrials,large,18788368384,18.79,4,0,False,False,False,False,5,6,False,False,False,False
BRO,Brown & Brown,Financials,large,22450700288,22.45,1,0,False,False,False,False,16,0,False,False,False,False
BLDR,Builders FirstSource,Industrials,mid,8751073280,8.75,-5,0,False,False,False,False,-1,0,False,False,False,False
BG,Bunge Global,Consumer Staples,large,25043945472,25.04,6,0,False,False,False,False,-1,0,False,False,False,False
BXP,"BXP, Inc.",Real Estate,mid,9168010240,9.17,-5,0,False,False,False,False,-2,0,False,False,False,False
CHRW,C.H. Robinson,Industrials,large,19909320704,19.91,3,0,False,False,False,False,8,-9,False,False,False,False
CDNS,Cadence Design Systems,Information Technology,large,76952379392,76.95,-2,0,False,False,False,False,-1,0,False,False,False,False
CPT,Camden Property Trust,Real Estate,large,10552243200,10.55,2,10,False,False,False,False,-2,0,False,False,False,False
CPB,Campbell's Company (The),Consumer Staples,mid,6562204672,6.56,6,0,False,False,False,False,8,0,False,False,False,False
COF,Capital One,Financials,large,113141792768,113.14,-5,0,False,False,False,False,-2,0,False,False,False,False
CAH,Cardinal Health,Health Care,large,50369392640,50.37,1,0,False,False,False,False,-1,-4,False,False,False,False
CCL,Carnival,Consumer Discretionary,large,35514978304,35.51,-5,0,False,False,False,False,-2,0,False,False,False,False
CARR,Carrier Global,Industrials,large,46564864000,46.56,-5,0,False,False,False,False,-2,0,False,False,False,False
CVNA,Carvana,Consumer Discretionary,large,69200101376,69.2,-10,-2,False,False,False,False,-2,0,False,False,False,False
CAT,Caterpillar Inc.,Industrials,large,335644295168,335.64,-9,-1,False,True,False,False,-3,0,False,False,False,False
CBOE,Cboe Global Markets,Financials,large,30348400640,30.35,-2,0,False,False,False,False,-2,-4,False,False,False,False
CBRE,CBRE Group,Real Estate,large,40651202560,40.65,-8,0,False,False,False,False,-2,0,False,False,False,False
CDW,CDW Corporation,Information Technology,large,15884929024,15.88,-9,-1,False,True,False,False,-2,0,False,False,False,False
COR,Cencora,Health Care,large,63183564800,63.18,4,11,False,False,False,False,7,0,False,False,False,False
CNC,Centene Corporation,Health Care,large,17266132992,17.27,1,0,False,False,False,False,-2,-9,False,False,False,False
CNP,CenterPoint Energy,Utilities,large,28593475584,28.59,3,0,False,False,False,False,-1,0,False,False,False,False
CF,CF Industries,Materials,large,19972335616,19.97,5,0,False,False,False,False,2,0,False,False,False,False
CRL,Charles River Laboratories,Health Care,mid,8560222208,8.56,-5,-7,False,False,False,False,-2,0,False,False,False,False
SCHW,Charles Schwab Corporation,Financials,large,166623363072,166.62,-5,0,False,False,False,False,-2,-5,False,False,False,False
CHTR,Charter Communications,Communication Services,large,27832348672,27.83,1,7,False,False,False,False,-2,9,False,False,False,False
CVX,Chevron Corporation,Energy,large,397811384320,397.81,9,1,True,False,False,False,2,0,False,False,False,False
CMG,Chipotle Mexican Grill,Consumer Discretionary,large,43846737920,43.85,-9,-1,False,True,False,False,-2,0,False,False,False,False
CB,Chubb Limited,Financials,large,128410255360,128.41,1,0,False,False,False,False,-1,0,False,False,False,False
CHD,Church & Dwight,Consumer Staples,large,21993850880,21.99,-5,0,False,False,False,False,-1,-2,False,False,False,False
CIEN,Ciena,Information Technology,large,63341678592,63.34,1,0,False,False,False,False,-12,-4,False,False,False,False
CI,Cigna,Health Care,large,72129314816,72.13,1,0,False,False,False,False,-2,0,False,False,False,False
CINF,Cincinnati Financial,Financials,large,24662253568,24.66,-10,-1,False,False,False,False,-1,0,False,False,False,False
CTAS,Cintas,Industrials,large,69741568000,69.74,-3,0,False,False,False,False,5,0,False,False,False,False
CSCO,Cisco,Information Technology,large,312215470080,312.22,1,0,False,False,False,False,-4,-12,False,False,False,False
C,Citigroup,Financials,large,201609019392,201.61,0,0,False,False,False,False,-3,-9,False,False,False,False
CFG,Citizens Financial Group,Financials,large,26194364416,26.19,-10,-1,False,False,False,False,-3,-11,False,False,False,False
CLX,Clorox,Consumer Staples,large,12337094656,12.34,1,13,False,False,True,False,7,0,False,False,False,False
CME,CME Group,Financials,large,110696374272,110.7,4,0,False,False,False,False,4,0,False,False,False,False
CMS,CMS Energy,Utilities,large,24202377216,24.2,0,0,False,False,False,False,-3,-4,False,False,False,False
KO,Coca-Cola Company (The),Consumer Staples,large,330214637568,330.21,1,0,False,False,False,False,-3,0,False,False,False,False
CTSH,Cognizant,Information Technology,large,30184710144,30.18,5,0,False,False,False,False,11,2,False,False,False,False
COIN,Coinbase,Financials,large,46235492352,46.24,-1,0,False,False,False,False,4,0,False,False,False,False
CL,Colgate-Palmolive,Consumer Staples,large,68307980288,68.31,1,0,False,False,False,False,7,0,False,False,False,False
CMCSA,Comcast,Communication Services,large,101773975552,101.77,-4,0,False,False,False,False,6,-3,False,False,False,False
FIX,Comfort Systems USA,Industrials,large,49987055616,49.99,-9,-1,False,True,False,False,-3,-6,False,False,False,False
CAG,Conagra Brands,Consumer Staples,mid,7519968256,7.52,4,12,False,False,False,False,7,0,False,False,False,False
COP,ConocoPhillips,Energy,large,159539724288,159.54,9,1,True,False,False,False,1,0,False,False,False,False
ED,Consolidated Edison,Utilities,large,41705168896,41.71,5,0,False,False,False,False,-1,0,False,False,False,False
STZ,Constellation Brands,Consumer Staples,large,26322993152,26.32,-4,0,False,False,False,False,-3,0,False,False,False,False
CEG,Constellation Energy,Utilities,large,98841231360,98.84,0,0,False,False,False,False,-1,0,False,False,False,False
COO,Cooper Companies (The),Health Care,large,13691176960,13.69,1,0,False,False,False,False,-2,0,False,False,False,False
CPRT,Copart,Industrials,large,32331792384,32.33,-2,0,False,False,False,False,-1,1,False,False,False,False
GLW,Corning Inc.,Information Technology,large,127065473024,127.07,-9,-1,False,True,False,False,-3,0,False,False,False,False
CPAY,Corpay,Financials,large,20521496576,20.52,-8,0,False,False,False,False,-1,0,False,False,False,False
CTVA,Corteva,Materials,large,57473904640,57.47,4,0,False,False,False,False,-24,0,False,False,False,False
CSGP,CoStar Group,Real Estate,large,16931720192,16.93,6,0,False,False,False,False,13,5,False,False,False,False
COST,Costco,Consumer Staples,large,450509701120,450.51,3,0,False,False,False,False,-1,0,False,False,False,False
CTRA,Coterra,Energy,large,26240464896,26.24,10,2,False,False,False,False,1,0,False,False,False,False
CRH,CRH plc,Materials,large,69941256192,69.94,-9,0,False,True,False,False,-2,0,False,False,False,False
CRWD,CrowdStrike,Information Technology,large,101222457344,101.22,4,0,False,False,False,False,4,10,False,False,False,False
CCI,Crown Castle,Real Estate,large,36970049536,36.97,-2,0,False,False,False,False,-1,0,False,False,False,False
CSX,CSX Corporation,Industrials,large,76668911616,76.67,-14,-5,False,False,False,False,-3,0,False,False,False,False
CMI,Cummins,Industrials,large,75946786816,75.95,-9,0,False,True,False,False,-3,-11,False,False,False,False
CVS,CVS Health,Health Care,large,93494788096,93.49,2,10,False,False,False,False,-2,0,False,False,False,False
DHR,Danaher Corporation,Health Care,large,135255506944,135.26,-2,0,False,False,False,False,-2,0,False,False,False,False
DRI,Darden Restaurants,Consumer Discretionary,large,22605289472,22.61,-2,0,False,False,False,False,7,-6,False,False,False,False
DDOG,Datadog,Information Technology,large,42589544448,42.59,0,0,False,False,False,False,3,8,False,False,False,False
DVA,DaVita,Health Care,mid,9731877888,9.73,-2,0,False,False,False,False,-1,0,False,False,False,False
DECK,Deckers Brands,Consumer Discretionary,large,14328173568,14.33,-10,0,False,False,False,False,-2,0,False,False,False,False
DE,Deere & Company,Industrials,large,155503476736,155.5,1,0,False,False,False,False,-2,-3,False,False,False,False
DELL,Dell Technologies,Information Technology,large,115553181696,115.55,1,0,False,False,False,False,-9,-1,False,True,False,False
DAL,Delta Air Lines,Industrials,large,43603005440,43.6,-5,-7,False,False,False,False,-3,0,False,False,False,False
DVN,Devon Energy,Energy,large,30696882176,30.7,10,2,False,False,False,False,1,0,False,False,False,False
DXCM,Dexcom,Health Care,large,24266811392,24.27,1,4,False,False,False,False,0,0,False,False,False,False
FANG,Diamondback Energy,Energy,large,54689472512,54.69,-1,0,False,False,False,False,1,0,False,False,False,False
DLR,Digital Realty,Real Estate,large,63555969024,63.56,-11,-3,False,False,False,False,-3,-5,False,False,False,False
DG,Dollar General,Consumer Staples,large,26369898496,26.37,3,0,False,False,False,False,7,-5,False,False,False,False
DLTR,Dollar Tree,Consumer Staples,large,21563639808,21.56,6,0,False,False,False,False,7,0,False,False,False,False
D,Dominion Energy,Utilities,large,55172616192,55.17,-13,0,False,False,False,False,-2,0,False,False,False,False
DPZ,Domino's,Consumer Discretionary,large,12470267904,12.47,1,0,False,False,False,False,5,0,False,False,False,False
DASH,DoorDash,Consumer Discretionary,large,67966005248,67.97,-2,0,False,False,False,False,-1,0,False,False,False,False
DOV,Dover Corporation,Industrials,large,27698907136,27.7,-5,0,False,False,False,False,-2,-12,False,False,False,False
DOW,Dow Inc.,Materials,large,29792243712,29.79,7,-13,False,False,False,True,-16,0,False,False,False,False
DHI,D. R. Horton,Consumer Discretionary,large,40663695360,40.66,-5,0,False,False,False,False,-2,0,False,False,False,False
DTE,DTE Energy,Utilities,large,30796480512,30.8,2,0,False,False,False,False,-2,0,False,False,False,False
DUK,Duke Energy,Utilities,large,102895812608,102.9,2,0,False,False,False,False,-1,0,False,False,False,False
DD,DuPont,Materials,large,19054997504,19.05,1,12,False,False,False,False,-3,0,False,False,False,False
ETN,Eaton Corporation,Industrials,large,140251234304,140.25,-9,0,False,True,False,False,-3,0,False,False,False,False
EBAY,eBay Inc.,Consumer Discretionary,large,42551279616,42.55,-2,0,False,False,False,False,-3,0,False,False,False,False
ECL,Ecolab,Materials,large,74638958592,74.64,1,0,False,False,False,False,-1,-4,False,False,False,False
EIX,Edison International,Utilities,large,28275191808,28.28,2,0,False,False,False,False,-3,0,False,False,False,False
EW,Edwards Lifesciences,Health Care,large,47073841152,47.07,4,-11,False,False,False,False,4,0,False,False,False,False
EA,Electronic Arts,Communication Services,large,50951655424,50.95,4,-8,False,False,False,False,-5,0,False,False,False,False
ELV,Elevance Health,Health Care,large,66374721536,66.37,1,0,False,False,False,False,-3,0,False,False,False,False
EME,Emcor,Industrials,large,33856421888,33.86,-9,-1,False,True,False,False,-4,-8,False,False,False,False
EMR,Emerson Electric,Industrials,large,74055180288,74.06,-10,-1,False,False,False,False,-2,0,False,False,False,False
ETR,Entergy,Utilities,large,52601061376,52.6,-13,0,False,False,False,False,-4,-5,False,False,False,False
EOG,EOG Resources,Energy,large,76525142016,76.53,9,1,True,False,False,False,0,0,False,False,False,False
EPAM,EPAM Systems,Information Technology,mid,7622929408,7.62,6,0,False,False,False,False,11,2,False,False,False,False
EQT,EQT Corporation,Energy,large,37269155840,37.27,11,3,False,False,False,False,3,0,False,False,False,False
EFX,Equifax,Industrials,large,22002544640,22.0,-2,0,False,False,False,False,-1,0,False,False,False,False
EQIX,Equinix,Real Estate,large,98291277824,98.29,-10,-2,False,False,False,False,-3,-8,False,False,False,False
EQR,Equity Residential,Real Estate,large,23634190336,23.63,-13,-5,False,False,False,False,-2,0,False,False,False,False
ERIE,Erie Indemnity,Financials,large,13046844416,13.05,1,0,False,False,False,False,-2,0,False,False,False,False
ESS,Essex Property Trust,Real Estate,large,17101476864,17.1,1,-1,False,False,False,False,-2,0,False,False,False,False
EL,Estée Lauder Companies (The),Consumer Staples,large,25002573824,25.0,-5,0,False,False,False,False,11,0,False,False,False,False
EG,Everest Group,Financials,large,13211214848,13.21,-8,0,False,False,False,False,-2,0,False,False,False,False
EVRG,Evergy,Utilities,large,19076737024,19.08,2,0,False,False,False,False,-3,0,False,False,False,False
ES,Eversource Energy,Utilities,large,26109976576,26.11,2,0,False,False,False,False,-1,0,False,False,False,False
EXC,Exelon,Utilities,large,50473230336,50.47,3,0,False,False,False,False,-1,0,False,False,False,False
EXE,Expand Energy,Energy,large,24974974976,24.97,10,2,False,False,False,False,3,0,False,False,False,False
EXPE,Expedia Group,Consumer Discretionary,large,27607107584,27.61,-2,0,False,False,False,False,-1,-8,False,False,False,False
EXPD,Expeditors International,Industrials,large,19466170368,19.47,4,0,False,False,False,False,1,0,False,False,False,False
EXR,Extra Space Storage,Real Estate,large,29662763008,29.66,-10,-2,False,False,False,False,-1,0,False,False,False,False
XOM,ExxonMobil,Energy,large,669557260288,669.56,9,1,True,False,False,False,2,0,False,False,False,False
FFIV,"F5, Inc.",Information Technology,large,17233645568,17.23,4,0,False,False,False,False,-7,0,False,False,False,False
FDS,FactSet,Financials,mid,8519770624,8.52,0,0,False,False,False,False,-3,0,False,False,False,False
FICO,Fair Isaac,Information Technology,large,25851432960,25.85,4,0,False,False,False,False,6,8,False,False,False,False
FAST,Fastenal,Industrials,large,53167611904,53.17,1,8,False,False,False,False,-2,13,False,False,True,False
FRT,Federal Realty Investment Trust,Real Estate,mid,9281911808,9.28,-11,-3,False,False,False,False,-3,-8,False,False,False,False
FDX,FedEx,Industrials,large,86287360000,86.29,1,11,False,False,False,False,-3,0,False,False,False,False
FIS,Fidelity National Information Services,Financials,large,23971311616,23.97,1,0,False,False,False,False,4,0,False,False,False,False
FITB,Fifth Third Bancorp,Financials,large,42661097472,42.66,-10,-1,False,False,False,False,-3,-8,False,False,False,False
FSLR,First Solar,Information Technology,large,20959983616,20.96,1,13,False,False,True,False,-3,0,False,False,False,False
FE,FirstEnergy,Utilities,large,29653735424,29.65,1,0,False,False,False,False,-3,0,False,False,False,False
FISV,Fiserv,Financials,large,30205763584,30.21,-2,0,False,False,False,False,-1,0,False,False,False,False
F,Ford Motor Company,Consumer Discretionary,large,46528557056,46.53,-5,0,False,False,False,False,-2,0,False,False,False,False
FTNT,Fortinet,Information Technology,large,61373280256,61.37,4,0,False,False,False,False,4,0,False,False,False,False
FTV,Fortive,Industrials,large,17811660800,17.81,-10,-1,False,False,False,False,-2,-7,False,False,False,False
FOXA,Fox Corporation (Class A),Communication Services,large,24936716288,24.94,-7,0,False,False,False,False,-2,-9,False,False,False,False
FOX,Fox Corporation (Class B),Communication Services,large,24682565632,24.68,0,0,False,False,False,False,-2,0,False,False,False,False
BEN,Franklin Resources,Financials,large,12200542208,12.2,-10,-2,False,False,False,False,-2,-7,False,False,False,False
FCX,Freeport-McMoRan,Materials,large,88215437312,88.22,-10,-2,False,False,False,False,-3,-9,False,False,False,False
GRMN,Garmin,Consumer Discretionary,large,45743067136,45.74,-9,-1,False,True,False,False,-2,0,False,False,False,False
IT,Gartner,Information Technology,large,11377377280,11.38,1,0,False,False,False,False,4,0,False,False,False,False
GE,GE Aerospace,Industrials,large,296571469824,296.57,-7,0,False,False,False,False,-2,0,False,False,False,False
GEHC,GE HealthCare,Health Care,large,32100009984,32.1,-5,0,False,False,False,False,-2,0,False,False,False,False
GEV,GE Vernova,Industrials,large,243800424448,243.8,-9,0,False,True,False,False,-3,0,False,False,False,False
GEN,Gen Digital,Information Technology,large,11649766400,11.65,-1,0,False,False,False,False,16,0,False,False,False,False
GNRC,Generac,Industrials,large,11389990912,11.39,-5,0,False,False,False,False,-2,0,False,False,False,False
GD,General Dynamics,Industrials,large,94549581824,94.55,5,0,False,False,False,False,5,0,False,False,False,False
GIS,General Mills,Consumer Staples,large,19970351104,19.97,6,0,False,False,False,False,8,0,False,False,False,False
GM,General Motors,Consumer Discretionary,large,67669762048,67.67,-5,0,False,False,False,False,-2,-7,False,False,False,False
GPC,Genuine Parts Company,Consumer Discretionary,large,14394964992,14.39,-5,0,False,False,False,False,-2,0,False,False,False,False
GILD,Gilead Sciences,Health Care,large,173408583680,173.41,1,0,False,False,False,False,-1,-3,False,False,False,False
GPN,Global Payments,Financials,large,17927680000,17.93,-4,0,False,False,False,False,-1,0,False,False,False,False
GL,Globe Life,Financials,large,11213655040,11.21,-10,-2,False,False,False,False,-3,0,False,False,False,False
GDDY,GoDaddy,Information Technology,large,11037014016,11.04,4,0,False,False,False,False,17,8,False,False,False,False
GS,Goldman Sachs,Financials,large,256109641728,256.11,-10,-1,False,False,False,False,-3,-5,False,False,False,False
HAL,Halliburton,Energy,large,32124887040,32.12,9,1,True,False,False,False,-5,0,False,False,False,False
HIG,Hartford (The),Financials,large,37983432704,37.98,1,0,False,False,False,False,-2,-6,False,False,False,False
HAS,Hasbro,Consumer Discretionary,large,12684228608,12.68,1,0,False,False,False,False,-1,-2,False,False,False,False
HCA,HCA Healthcare,Health Care,large,105513902080,105.51,1,0,False,False,False,False,-1,-10,False,False,False,False
DOC,Healthpeak Properties,Real Estate,large,11485639680,11.49,-1,0,False,False,False,False,4,-12,False,False,False,False
HSIC,Henry Schein,Health Care,mid,8704572416,8.7,-8,0,False,False,False,False,-1,-8,False,False,False,False
HSY,Hershey Company (The),Consumer Staples,large,41792847872,41.79,3,0,False,False,False,False,7,0,False,False,False,False
HPE,Hewlett Packard Enterprise,Information Technology,large,32701976576,32.7,1,12,False,False,False,False,-5,8,False,False,False,False
HLT,Hilton Worldwide,Consumer Discretionary,large,70881107968,70.88,-5,0,False,False,False,False,-3,-7,False,False,False,False
HOLX,Hologic,Health Care,large,16888477696,16.89,-2,0,False,False,False,False,-1,0,False,False,False,False
HD,Home Depot (The),Consumer Discretionary,large,320347176960,320.35,-5,0,False,False,False,False,-1,0,False,False,False,False
HON,Honeywell,Industrials,large,145855791104,145.86,-5,5,False,False,False,False,-2,-6,False,False,False,False
HRL,Hormel Foods,Consumer Staples,large,12155779072,12.16,10,0,False,False,False,False,7,12,False,False,False,False
HST,Host Hotels & Resorts,Real Estate,large,13334630400,13.33,-5,0,False,False,False,False,-3,-7,False,False,False,False
HWM,Howmet Aerospace,Industrials,large,93653696512,93.65,-9,-1,False,True,False,False,-2,0,False,False,False,False
HPQ,HP Inc.,Information Technology,large,17909878784,17.91,-2,0,False,False,False,False,-1,6,False,False,False,False
HUBB,Hubbell Incorporated,Industrials,large,26275121152,26.28,-9,-1,False,True,False,False,-3,-8,False,False,False,False
HUM,Humana,Health Care,large,21445580800,21.45,1,-2,False,False,False,False,-2,0,False,False,False,False
HBAN,Huntington Bancshares,Financials,large,32166119424,32.17,-10,-2,False,False,False,False,-2,0,False,False,False,False
HII,Huntington Ingalls Industries,Industrials,large,15617773568,15.62,3,0,False,False,False,False,6,-4,False,False,False,False
IBM,IBM,Information Technology,large,232875606016,232.88,5,0,False,False,False,False,11,2,False,False,False,False
IEX,IDEX Corporation,Industrials,large,14161030144,14.16,-9,-1,False,True,False,False,-2,-8,False,False,False,False
IDXX,Idexx Laboratories,Health Care,large,45349867520,45.35,0,0,False,False,False,False,-1,0,False,False,False,False
ITW,Illinois Tool Works,Industrials,large,74416119808,74.42,-5,0,False,False,False,False,-2,0,False,False,False,False
INCY,Incyte,Health Care,large,19091460096,19.09,-5,0,False,False,False,False,-2,-12,False,False,False,False
IR,Ingersoll Rand,Industrials,large,30783051776,30.78,-5,0,False,False,False,False,-2,0,False,False,False,False
PODD,Insulet Corporation,Health Care,large,14382575616,14.38,16,0,False,False,False,False,20,11,False,False,False,False
INTC,Intel,Information Technology,large,252958507008,252.96,-9,-1,False,True,False,False,-3,0,False,False,False,False
IBKR,Interactive Brokers,Financials,large,115170893824,115.17,-9,-1,False,True,False,False,-3,-3,False,False,False,False
ICE,Intercontinental Exchange,Financials,large,92927696896,92.93,4,0,False,False,False,False,-2,0,False,False,False,False
IFF,International Flavors & Fragrances,Materials,large,18504235008,18.5,1,0,False,False,False,False,-2,-4,False,False,False,False
IP,International Paper,Materials,large,18420826112,18.42,1,0,False,False,False,False,-1,-6,False,False,False,False
