rank,ticker,name,commodity,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
225,ASN.AX,Anson Resources,uranium,small,0.051,-21.54,-8.77,-12.77,-5.91,7.94,FLAT,-32.31,-27.82,-4.49,-21.54,38.71,LOW,0.898,-,0,7.852,commodities_top_jan_2026,2026-01-29,72
226,IGO.AX,IGO LTD,lithium,large,8.34,-2.68,-8.77,6.09,-3.0,-0.6,STRONG_DOWN,-24.22,-27.82,3.6,-9.84,21.05,HIGH,1.6415,-,1,7.671,commodities_top_jan_2026,2026-01-29,72
227,WAF.AX,West African Resources,gold,mid,3.17,-18.93,-8.77,-10.16,-6.14,-8.31,STRONG_UP,-29.41,-27.82,-1.59,-18.93,37.14,LOW,0.4514,-,1,7.555,commodities_top_jan_2026,2026-01-29,72
228,BGL.AX,Bellevue Gold,gold,mid,1.58,-20.6,-8.77,-11.83,-10.22,-15.64,FLAT,-36.93,-27.82,-9.11,-20.6,31.43,LOW,0.6034,-,1,7.43,commodities_top_jan_2026,2026-01-29,72
229,002738.SZ,SINOMINE RESOURCE GROUP CO-A,lithium,large,88.88,-4.4,-8.77,4.37,-14.81,16.32,FLAT,-32.49,-27.82,-4.67,-5.1,13.16,MED,1.1392,-,1,7.097,commodities_top_jan_2026,2026-01-29,72
230,ERO.TO,Ero Copper,copper,mid,38.96,-23.92,-8.77,-15.15,4.66,-12.64,STRONG_UP,-36.71,-27.82,-8.89,-23.92,33.75,LOW,,-,1,6.732,commodities_top_jan_2026,2026-01-29,72
231,SBSW,"ticker
SBSW    Sibanye Gold ADR
SBSW    Sibanye Gold ADR
Name: name, dtype: object",palladium,large,13.32,-31.43,-8.77,-22.66,1.3,0.97,STRONG_UP,-42.65,-27.82,-14.83,-31.43,37.5,LOW,0.7394,-,1,6.635,commodities_top_jan_2026,2026-01-29,72
232,ARTG.V,Artemis Gold Inc,gold,large,34.17,-19.24,-8.77,-10.47,-6.76,-17.89,FLAT,-28.62,-27.82,-0.8,-24.77,35.24,MED,1.0578,EARLY,0,6.624,commodities_top_jan_2026,2026-01-29,72
233,SLX.AX,Silex Systems,uranium,mid,5.84,-24.45,-8.77,-15.68,-9.16,-0.66,FLAT,-36.74,-27.82,-8.92,-24.45,33.87,LOW,0.8528,-,0,6.565,commodities_top_jan_2026,2026-01-29,72
234,EMR.AX,Emerald Resources,gold,mid,6.1,-23.75,-8.77,-14.98,-7.89,-3.91,FLAT,-42.87,-27.82,-15.05,-23.75,26.67,MED,1.051,-,1,6.524,commodities_top_jan_2026,2026-01-29,72
235,2099.HK,China Gold International Resources,copper,large,171.5,-24.64,-8.77,-15.87,-8.91,-2.72,FLAT,-39.0,-27.82,-11.18,-24.64,31.25,MED,1.11,-,1,6.381,commodities_top_jan_2026,2026-01-29,72
236,300450.SZ,WUXI LEAD INTELLIGENT EQUI-A,lithium,large,54.75,-2.82,-8.77,5.95,-14.06,12.21,FLAT,-22.65,-27.82,5.17,-8.63,18.42,MED,1.1786,-,1,6.355,commodities_top_jan_2026,2026-01-29,72
237,VAU.AX,Vault Minerals,gold,mid,4.7,-23.75,-8.77,-14.98,-7.71,-1.2,FLAT,-41.43,-27.82,-13.61,-23.75,26.67,LOW,0.9988,-,1,6.092,commodities_top_jan_2026,2026-01-29,72
238,1164.HK,CGN Mining Co,uranium,large,4.04,-23.19,-8.77,-14.42,-12.41,-9.85,FLAT,-30.04,-27.82,-2.22,-23.19,37.1,LOW,0.7365,-,1,6.028,commodities_top_jan_2026,2026-01-29,72
239,LI.V,American Lithium Ord Shs,uranium,small,0.62,-26.19,-8.77,-17.42,-15.28,5.84,FLAT,-40.0,-27.82,-12.18,-27.06,30.65,HIGH,1.5869,-,0,5.881,commodities_top_jan_2026,2026-01-29,72
240,TMQ,"ticker
TMQ         Trilogy Metals
TMQ    Trilogy Metals Inc.
Name: name, dtype: object",gold,mid,4.49,-25.29,-8.77,-16.52,-7.98,12.79,FLAT,-46.42,-27.82,-18.6,-25.29,22.86,LOW,0.7179,-,1,5.83,commodities_top_jan_2026,2026-01-29,72
241,KCP.V,King Copper Discovery,copper,small,1.04,-27.78,-8.77,-19.01,10.19,28.71,FLAT,-47.22,-27.82,-19.4,-27.78,25.0,LOW,0.9553,-,1,5.716,commodities_top_jan_2026,2026-01-29,72
242,FOM.TO,Foran Mining,copper,mid,5.44,-23.38,-8.77,-14.61,-14.14,-10.89,FLAT,-31.2,-27.82,-3.38,-25.89,35.0,HIGH,3.0532,-,1,5.67,commodities_top_jan_2026,2026-01-29,72
243,CMCL,Caledonia Mining Corp Plc,gold,small,23.92,-21.75,-8.77,-12.98,0.09,-8.54,STRONG_UP,-34.22,-27.82,-6.4,-26.16,29.52,LOW,0.4022,-,0,5.584,commodities_top_jan_2026,2026-01-29,72
244,PSC.AX,Prospect Resources,copper,small,0.295,-26.25,-8.77,-17.48,-12.16,-12.16,UP,-42.11,-27.82,-14.29,-37.89,27.5,LOW,0.5075,-,1,5.545,commodities_top_jan_2026,2026-01-29,72
245,POD.AX,Podium Minerals,platinum,small,0.054,-37.93,-8.77,-29.16,-6.28,9.57,FLAT,-51.72,-27.82,-23.9,-37.93,33.33,LOW,0.065,-,0,5.505,commodities_top_jan_2026,2026-01-29,72
246,BVR.AX,Bellavista Resources,uranium,small,0.58,-31.36,-8.77,-22.59,-4.75,-2.93,FLAT,-48.35,-27.82,-20.53,-36.26,27.42,LOW,0.397,-,1,5.349,commodities_top_jan_2026,2026-01-29,72
247,GFI,Gold Fields Ltd,gold,large,44.86,-21.23,-8.77,-12.46,-4.81,-12.01,STRONG_UP,-31.67,-27.82,-3.85,-21.54,30.48,LOW,0.8364,-,1,5.315,commodities_top_jan_2026,2026-01-29,72
248,1211.HK,BYD CO LTD-H,lithium,large,99.75,-2.01,-8.77,6.76,-15.31,-4.95,STRONG_DOWN,-12.63,-27.82,15.19,-11.88,23.68,LOW,0.5433,EARLY,0,5.251,commodities_top_jan_2026,2026-01-29,72
249,SPD.AX,Southern Palladium Limited,palladium,small,1.625,-32.57,-8.77,-23.8,-5.95,-3.24,FLAT,-51.85,-27.82,-24.03,-40.04,25.0,LOW,0.4122,-,1,5.189,commodities_top_jan_2026,2026-01-29,72
250,REG.V,Regulus Resources,copper,mid,4.01,-26.42,-8.77,-17.65,-8.0,-2.68,FLAT,-41.65,-27.82,-13.83,-26.42,26.25,LOW,,-,1,4.964,commodities_top_jan_2026,2026-01-29,72
251,GROY,Gold Royalty Corp,gold,mid,3.61,-22.37,-8.77,-13.6,-7.22,-4.03,FLAT,-33.26,-27.82,-5.44,-23.52,28.57,LOW,0.6803,PROGRESS,0,4.763,commodities_top_jan_2026,2026-01-29,72
252,TNC.AX,True North Copper,copper,small,0.425,-29.17,-8.77,-20.4,-5.91,4.66,FLAT,-49.58,-27.82,-21.76,-29.17,21.25,LOW,0.0674,-,0,4.743,commodities_top_jan_2026,2026-01-29,72
253,HMY,Harmony Gold Mining,gold,large,17.79,-25.99,-8.77,-17.22,2.69,6.43,FLAT,-45.63,-27.82,-17.81,-25.99,20.95,LOW,0.8236,-,1,4.74,commodities_top_jan_2026,2026-01-29,72
254,ITRG,"ticker
ITRG    Integra Resources
ITRG    Integra Resources
Name: name, dtype: object",silver,mid,2.89,-30.19,-8.77,-21.42,-5.91,-6.6,STRONG_UP,-42.17,-27.82,-14.35,-33.41,30.0,LOW,0.5126,EARLY,0,4.737,commodities_top_jan_2026,2026-01-29,72
255,LEU,Centrus Energy -A,uranium,mid,207.33,-31.23,-8.77,-22.46,-11.96,7.81,FLAT,-44.11,-27.82,-16.29,-31.23,29.03,LOW,0.8012,SHIFT,0,4.612,commodities_top_jan_2026,2026-01-29,72
256,IPT.V,Impact Silver,silver,small,0.31,-35.42,-8.77,-26.65,11.84,26.23,FLAT,-54.17,-27.82,-26.35,-35.42,23.33,LOW,0.4977,-,0,4.244,commodities_top_jan_2026,2026-01-29,72
257,0358.HK,Jiangxi Copper H,copper,large,39.34,-25.49,-8.77,-16.72,-5.78,3.68,FLAT,-35.42,-27.82,-7.6,-25.49,28.75,HIGH,1.6963,-,1,4.217,commodities_top_jan_2026,2026-01-29,72
258,HL,Hecla Mining Co,silver,large,18.61,-29.28,-8.77,-20.51,-6.3,-7.3,STRONG_UP,-35.21,-27.82,-7.39,-29.28,33.33,LOW,0.7159,-,1,4.012,commodities_top_jan_2026,2026-01-29,72
259,SCZ.V,Santacruz Silver Mining,silver,mid,12.33,-35.11,-8.77,-26.34,3.18,8.25,FLAT,-49.53,-27.82,-21.71,-35.11,26.67,LOW,0.3889,-,1,3.978,commodities_top_jan_2026,2026-01-29,72
260,SMR,Nuscale Power Corp,uranium,mid,12.55,-33.67,-8.77,-24.9,-9.12,33.33,FLAT,-51.59,-27.82,-23.77,-33.67,22.58,MED,1.367,SHIFT,0,3.945,commodities_top_jan_2026,2026-01-29,72
261,NST.AX,Northern Star Resources,gold,large,21.16,-27.66,-8.77,-18.89,-11.87,-16.5,STRONG_UP,-45.32,-27.82,-17.5,-32.76,19.05,MED,1.0595,EARLY,0,3.409,commodities_top_jan_2026,2026-01-29,72
262,VUL.AX,VULCAN ENERGY RESOURCES LTD,lithium,mid,3.73,-10.55,-8.77,-1.78,-13.74,-2.66,STRONG_DOWN,-30.7,-27.82,-2.88,-10.55,10.53,LOW,0.6231,SHIFT,0,3.311,commodities_top_jan_2026,2026-01-29,72
263,JAGU,Jaguar Uranium Corp,uranium,small,2.39,-40.25,-8.77,-31.48,-7.33,6.7,FLAT,-61.25,-27.82,-33.43,-40.25,19.35,LOW,0.1084,-,0,3.242,commodities_top_jan_2026,2026-01-29,72
264,BKY.MC,Berkeley Energia Ltd.,uranium,small,0.2465,-25.75,-8.77,-16.98,-11.96,-8.13,FLAT,-28.94,-27.82,-1.12,-26.09,32.26,LOW,0.3194,-,0,3.222,commodities_top_jan_2026,2026-01-29,72
265,FUU.V,F3 Uranium Corp,uranium,small,0.18,-33.33,-8.77,-24.56,-14.86,2.95,FLAT,-46.3,-27.82,-18.48,-33.33,24.19,LOW,0.4402,-,0,2.977,commodities_top_jan_2026,2026-01-29,72
266,1515.T,Nittetsu Mining,copper,large,2515.0,-29.63,-8.77,-20.86,-14.18,-5.0,FLAT,-45.79,-27.82,-17.97,-43.47,18.75,LOW,0.5541,-,1,2.672,commodities_top_jan_2026,2026-01-29,72
267,SAG.V,Sterling Metals,copper,small,1.3,-29.35,-8.77,-20.58,-6.47,-10.08,STRONG_UP,-42.72,-27.82,-14.9,-36.89,20.0,LOW,0.6664,-,0,2.238,commodities_top_jan_2026,2026-01-29,72
268,CYM.AX,Cyprium Metals,copper,small,0.415,-30.16,-8.77,-21.39,1.54,26.75,FLAT,-48.67,-27.82,-20.85,-30.16,15.0,MED,1.0704,-,1,2.199,commodities_top_jan_2026,2026-01-29,72
269,GCU.TO,Gunnison Copper,copper,small,0.445,-28.23,-8.77,-19.46,-3.62,6.94,FLAT,-37.1,-27.82,-9.28,-28.23,23.75,LOW,0.677,-,1,2.125,commodities_top_jan_2026,2026-01-29,72
270,WVM.V,West Vault Mining Ord Shs,gold,small,1.7,-23.77,-8.77,-15.0,-12.16,-8.49,FLAT,-30.13,-27.82,-2.31,-25.76,24.76,LOW,0.1582,-,0,2.121,commodities_top_jan_2026,2026-01-29,72
271,NGD,New Gold Inc,gold,large,9.08,-24.96,-8.77,-16.19,-24.17,-28.63,FLAT,-32.34,-27.82,-4.52,-32.34,23.81,LOW,0.0,-,1,2.023,commodities_top_jan_2026,2026-01-29,72
272,NFG.V,New Found Gold Corp,gold,mid,2.97,-29.62,-8.77,-20.85,-5.32,2.39,FLAT,-44.55,-27.82,-16.73,-29.62,17.14,LOW,0.8502,SHIFT,0,1.821,commodities_top_jan_2026,2026-01-29,72
273,GMD.AX,Genesis Minerals,gold,large,6.22,-26.13,-8.77,-17.36,-5.1,-7.83,STRONG_UP,-36.46,-27.82,-8.64,-26.13,20.0,LOW,0.5045,-,1,1.648,commodities_top_jan_2026,2026-01-29,72
274,IE,"ticker
IE         Ivanhoe Electric
IE    Ivanhoe Electric Inc.
Name: name, dtype: object",gold,mid,13.9,-30.22,-8.77,-21.45,0.03,0.49,FLAT,-45.93,-27.82,-18.11,-30.22,15.24,MED,1.4618,-,1,1.425,commodities_top_jan_2026,2026-01-29,72
275,1818.HK,Zhaojin Mining,gold,large,29.9,-25.62,-8.77,-16.85,-5.3,-14.89,STRONG_UP,-32.99,-27.82,-5.17,-25.62,21.9,MED,1.175,-,1,1.381,commodities_top_jan_2026,2026-01-29,72
276,ATX.V,ATEX Resources,copper,mid,3.1,-29.06,-8.77,-20.29,-5.26,-14.11,STRONG_UP,-36.07,-27.82,-8.25,-29.22,22.5,LOW,0.7408,-,1,1.109,commodities_top_jan_2026,2026-01-29,72
277,HGO.AX,Hillgrove Resources,copper,small,0.042,-30.0,-8.77,-21.23,-4.47,4.76,FLAT,-43.33,-27.82,-15.51,-30.0,16.25,LOW,0.6983,-,1,1.036,commodities_top_jan_2026,2026-01-29,72
278,EGO,Eldorado Gold Corp,gold,large,34.15,-28.97,-8.77,-20.2,6.25,-9.27,STRONG_UP,-40.02,-27.82,-12.2,-28.97,18.1,MED,1.1595,-,1,1.01,commodities_top_jan_2026,2026-01-29,72
279,SVL.AX,Silver Mines Ord Shs,silver,small,0.18,-35.71,-8.77,-26.94,-3.07,-0.08,FLAT,-46.43,-27.82,-18.61,-35.71,20.0,LOW,0.5576,-,0,0.807,commodities_top_jan_2026,2026-01-29,72
280,NVA,Nova Minerals,gold,small,6.6,-31.18,-8.77,-22.41,1.05,5.62,FLAT,-47.86,-27.82,-20.04,-31.18,12.38,LOW,0.9781,-,1,0.762,commodities_top_jan_2026,2026-01-29,72
281,SLI.V,STANDARD LITHIUM LTD,lithium,mid,5.39,-16.43,-8.77,-7.66,-6.47,11.02,FLAT,-32.41,-27.82,-4.59,-17.2,7.89,LOW,0.3923,SHIFT,0,0.68,commodities_top_jan_2026,2026-01-29,72
282,BOE.AX,Boss Energy Ltd.,uranium,mid,1.39,-32.2,-8.77,-23.43,-13.93,-20.2,STRONG_UP,-34.88,-27.82,-7.06,-32.2,25.81,LOW,0.7752,EARLY,0,0.489,commodities_top_jan_2026,2026-01-29,72
283,HSTR.V,"ticker
HSTR.V    Heliostar Metals Ord Shs
HSTR.V    Heliostar Metals Ord Shs
Name: name, dtype: object",gold,mid,2.23,-30.96,-8.77,-22.19,-6.47,-14.79,STRONG_UP,-43.34,-27.82,-15.52,-30.96,14.29,LOW,0.4641,-,1,0.067,commodities_top_jan_2026,2026-01-29,72
284,I88.AX,Infini Resources,uranium,small,0.155,-42.59,-8.77,-33.82,-20.98,11.88,FLAT,-56.36,-27.82,-28.54,-43.64,16.13,LOW,0.0,-,0,-0.127,commodities_top_jan_2026,2026-01-29,72
285,BRMS.JK,"ticker
BRMS.JK    Bumi Resources Minerals
BRMS.JK    Bumi Resources Minerals
Name: name, dtype: object",copper,large,750.0,-29.91,-8.77,-21.14,-16.01,-14.18,FLAT,-37.79,-27.82,-9.97,-30.88,17.5,LOW,0.6476,EARLY,0,-0.215,commodities_top_jan_2026,2026-01-29,72
286,CHN.AX,Challice Mining,palladium,mid,1.565,-33.12,-8.77,-24.35,-5.33,-4.81,FLAT,-47.01,-27.82,-19.19,-33.12,12.5,LOW,0.8513,PROGRESS,0,-0.233,commodities_top_jan_2026,2026-01-29,72
287,WAM.V,Western Alaska Minerals,silver,small,0.765,-35.71,-8.77,-26.94,0.34,-4.86,STRONG_UP,-42.86,-27.82,-15.04,-35.71,20.0,LOW,0.2102,-,0,-0.264,commodities_top_jan_2026,2026-01-29,72
288,0661.HK,China Daye Non-Ferrous Metals Mining,copper,mid,0.132,-34.65,-8.77,-25.88,-3.96,9.89,FLAT,-52.48,-27.82,-24.66,-34.65,8.75,LOW,0.3985,-,1,-0.329,commodities_top_jan_2026,2026-01-29,72
289,ASM,"ticker
ASM    Avino Silver & Gold Mines
ASM    Avino Silver & Gold Mines
Name: name, dtype: object",silver,mid,6.9,-37.39,-8.77,-28.62,-3.33,-4.92,STRONG_UP,-51.45,-27.82,-23.63,-37.39,13.33,LOW,0.8456,-,1,-0.36,commodities_top_jan_2026,2026-01-29,72
290,600489.SS,Zhongjin Gold Ord. A,gold,large,28.22,-31.17,-8.77,-22.4,-3.91,4.57,FLAT,-41.68,-27.82,-13.86,-31.17,13.33,LOW,0.8468,-,1,-0.803,commodities_top_jan_2026,2026-01-29,72
291,ERA.PA,ERAMET,lithium,mid,58.1,-23.75,-8.77,-14.98,-16.13,14.02,FLAT,-39.5,-27.82,-11.68,-23.75,5.26,LOW,0.3396,-,1,-0.91,commodities_top_jan_2026,2026-01-29,72
292,FF.TO,First Mining Gold,gold,mid,0.5,-34.21,-8.77,-25.44,1.48,0.16,STRONG_UP,-48.03,-27.82,-20.21,-34.21,9.52,LOW,0.4044,-,1,-1.257,commodities_top_jan_2026,2026-01-29,72
293,CVV.V,Canalaska Uranium Ltd.,uranium,small,0.62,-34.04,-8.77,-25.27,-23.59,-20.27,FLAT,-36.08,-27.82,-8.26,-36.08,20.97,LOW,0.5657,-,0,-1.339,commodities_top_jan_2026,2026-01-29,72
294,INR.AX,IONEER LTD,lithium,small,0.14,-33.33,-8.77,-24.56,-4.47,4.76,FLAT,-52.38,-27.82,-24.56,-33.33,2.63,LOW,0.5606,-,0,-1.667,commodities_top_jan_2026,2026-01-29,72
295,RMS.AX,Ramelius Resources,gold,large,3.52,-29.64,-8.77,-20.87,-8.32,-13.59,STRONG_UP,-33.84,-27.82,-6.02,-29.64,16.19,LOW,0.8127,EARLY,0,-1.685,commodities_top_jan_2026,2026-01-29,72
296,VROY.V,Vizsla royalties_financial_services,gold,small,3.0,-34.64,-8.77,-25.87,-3.46,8.18,FLAT,-47.71,-27.82,-19.89,-34.64,8.57,LOW,0.1,-,0,-1.81,commodities_top_jan_2026,2026-01-29,72
297,600916.SS,China Gold Ord. A,gold,large,9.16,-32.15,-8.77,-23.38,-9.58,-3.58,FLAT,-40.87,-27.82,-13.05,-37.6,11.43,LOW,0.4332,-,1,-2.008,commodities_top_jan_2026,2026-01-29,72
298,CAML.L,Central Asia Metals PLC,copper,small,154.2,-31.92,-8.77,-23.15,-9.08,-5.71,FLAT,-40.62,-27.82,-12.8,-36.15,11.25,LOW,0.4334,-,0,-2.045,commodities_top_jan_2026,2026-01-29,72
299,STK.AX,Strickland Metals,gold,mid,0.14,-33.33,-8.77,-24.56,-15.61,-42.06,FLAT,-42.86,-27.82,-15.04,-42.86,10.48,LOW,0.5764,EARLY,0,-2.168,commodities_top_jan_2026,2026-01-29,72
300,MARI.TO,Marimaca Copper,copper,mid,8.56,-31.9,-8.77,-23.13,-0.7,-3.4,STRONG_UP,-38.9,-27.82,-11.08,-31.9,12.5,LOW,0.8532,PROGRESS,0,-2.178,commodities_top_jan_2026,2026-01-29,72
301,AEE.AX,Aura Energy Ltd.,uranium,small,0.135,-43.75,-8.77,-34.98,-12.16,0.91,FLAT,-54.17,-27.82,-26.35,-43.75,12.9,LOW,0.4026,-,0,-2.217,commodities_top_jan_2026,2026-01-29,72
302,CUU.V,Copper Fox Metals,copper,small,0.55,-31.25,-8.77,-22.48,-13.94,-12.77,FLAT,-36.25,-27.82,-8.43,-31.25,13.75,MED,1.0709,-,1,-2.338,commodities_top_jan_2026,2026-01-29,72
303,DYL.AX,Deep Yellow Ltd.,uranium,mid,1.73,-40.55,-8.77,-31.78,-17.88,-10.17,FLAT,-44.5,-27.82,-16.68,-40.55,17.74,LOW,0.8715,EARLY,0,-2.386,commodities_top_jan_2026,2026-01-29,72
304,1AE.AX,Aurora Energy Metals,uranium,small,0.072,-48.57,-8.77,-39.8,-4.7,4.53,FLAT,-64.29,-27.82,-36.47,-48.57,8.06,LOW,0.307,-,0,-2.561,commodities_top_jan_2026,2026-01-29,72
305,VZLA,Vizsla Silver Corp,silver,mid,3.56,-39.04,-8.77,-30.27,-6.21,6.61,FLAT,-48.63,-27.82,-20.81,-39.04,10.0,LOW,0.5397,SHIFT,0,-2.865,commodities_top_jan_2026,2026-01-29,72
306,APM.TO,Andean Precious Metals,gold,mid,6.55,-35.85,-8.77,-27.08,-4.78,-13.7,STRONG_UP,-46.55,-27.82,-18.73,-38.03,7.62,LOW,0.6425,EARLY,0,-2.927,commodities_top_jan_2026,2026-01-29,72
307,BML.AX,,Unknown,small,0.425,-33.07,-8.77,-24.3,-0.32,-1.74,STRONG_UP,-47.52,-27.82,-19.7,-39.72,0.0,LOW,0.4624,-,1,-3.81,commodities_top_jan_2026,2026-01-29,72
308,EL8.AX,Elevate Uranium Ltd.,uranium,small,0.265,-43.62,-8.77,-34.85,-12.16,-9.95,FLAT,-46.81,-27.82,-18.99,-43.62,14.52,LOW,0.7278,-,0,-3.887,commodities_top_jan_2026,2026-01-29,72
309,LUCA.V,Luca Mining Ord Shs,copper,small,1.25,-34.9,-8.77,-26.13,-8.85,-19.04,STRONG_UP,-40.98,-27.82,-13.16,-39.02,7.5,LOW,0.4894,-,0,-4.254,commodities_top_jan_2026,2026-01-29,72
310,FTZ.V,Fitzroy Minerals,copper,small,0.395,-34.17,-8.77,-25.4,-18.11,2.4,FLAT,-37.5,-27.82,-9.68,-34.17,10.0,LOW,0.5015,-,0,-4.256,commodities_top_jan_2026,2026-01-29,72
311,IVN.TO,Ivanhoe Mines Class A,copper,large,11.8,-37.03,-8.77,-28.26,-1.15,-0.32,FLAT,-44.93,-27.82,-17.11,-37.03,6.25,LOW,,PROGRESS,0,-4.296,commodities_top_jan_2026,2026-01-29,72
312,PNR.AX,Pantoro Gold,gold,mid,3.39,-37.91,-8.77,-29.14,-6.55,-15.34,STRONG_UP,-47.54,-27.82,-19.72,-42.44,4.76,LOW,0.5443,EARLY,0,-4.312,commodities_top_jan_2026,2026-01-29,72
313,GLDG,Goldmining Inc,gold,small,1.2,-36.51,-8.77,-27.74,-9.6,-9.18,FLAT,-42.33,-27.82,-14.51,-36.51,6.67,LOW,0.5309,-,0,-4.742,commodities_top_jan_2026,2026-01-29,72
314,AIS.AX,Aeris Resources,copper,mid,0.415,-38.52,-8.77,-29.75,-5.75,3.48,FLAT,-46.67,-27.82,-18.85,-38.52,5.0,HIGH,2.2066,PROGRESS,0,-4.745,commodities_top_jan_2026,2026-01-29,72
315,SS1.AX,Sun Silver,silver,small,1.405,-44.69,-8.77,-35.92,3.0,3.51,FLAT,-52.36,-27.82,-24.54,-44.69,6.67,MED,1.1529,-,1,-5.005,commodities_top_jan_2026,2026-01-29,72
316,AEU.AX,Atomic Eagle,uranium,small,0.395,-45.89,-8.77,-37.12,-13.41,-19.78,STRONG_UP,-50.68,-27.82,-22.86,-45.89,9.68,LOW,0.5115,-,1,-5.086,commodities_top_jan_2026,2026-01-29,72
317,MFRISCOA-1.MX,Minera Frisco Sab De Cv,gold,large,9.66,-36.99,-8.77,-28.22,-10.47,-2.31,FLAT,-41.62,-27.82,-13.8,-36.99,5.71,LOW,0.5486,-,1,-5.435,commodities_top_jan_2026,2026-01-29,72
318,AEC.V,Anfield Energy Inc.,uranium,small,6.79,-45.51,-8.77,-36.74,-13.75,-14.06,STRONG_UP,-47.35,-27.82,-19.53,-45.51,11.29,LOW,0.8597,-,0,-5.45,commodities_top_jan_2026,2026-01-29,72
319,IVPAF,Ivanhoe Mines Ltd,palladium,large,8.62,-38.03,-8.77,-29.26,-1.93,0.8,FLAT,-46.64,-27.82,-18.82,-38.03,0.0,LOW,0.6018,PROGRESS,0,-6.058,commodities_top_jan_2026,2026-01-29,72
320,CVV.AX,Caravel Minerals,copper,small,0.285,-41.84,-8.77,-33.07,-6.6,-9.49,STRONG_UP,-48.98,-27.82,-21.16,-41.84,2.5,LOW,0.4445,-,1,-6.13,commodities_top_jan_2026,2026-01-29,72
321,TRX,TRX Gold,gold,small,1.26,-42.2,-8.77,-33.43,1.35,-21.12,STRONG_UP,-50.0,-27.82,-22.18,-42.2,1.9,LOW,0.61,-,1,-6.148,commodities_top_jan_2026,2026-01-29,72
322,AMMN.JK,"ticker
AMMN.JK    Amman Mineral Internasional
AMMN.JK    Amman Mineral Internasional
Name: name, dtype: object",copper,large,4210.0,-41.12,-8.77,-32.35,-27.11,-24.24,FLAT,-46.71,-27.82,-18.89,-46.71,3.75,HIGH,2.3191,EARLY,0,-6.148,commodities_top_jan_2026,2026-01-29,72
323,600547.SS,Shandong Gold Ord. A,gold,large,36.5,-39.78,-8.77,-31.01,-9.05,-10.99,STRONG_UP,-43.28,-27.82,-15.46,-39.78,3.81,MED,1.4278,EARLY,0,-6.623,commodities_top_jan_2026,2026-01-29,72
324,CYL.AX,Catalyst Metals,gold,mid,5.45,-41.84,-8.77,-33.07,-11.23,-22.9,STRONG_UP,-46.21,-27.82,-18.39,-41.84,2.86,LOW,0.9538,EARLY,0,-6.853,commodities_top_jan_2026,2026-01-29,72
325,ETM.AX,Energy Transition Minerals,uranium,small,0.067,-60.59,-8.77,-51.82,-9.08,12.58,FLAT,-70.59,-27.82,-42.77,-60.59,3.23,LOW,0.151,-,0,-6.928,commodities_top_jan_2026,2026-01-29,72
326,MMA.AX,Maronan Metals ltd,silver,small,0.33,-48.44,-8.77,-39.67,-5.71,-2.93,FLAT,-53.91,-27.82,-26.09,-48.44,3.33,LOW,0.4293,-,0,-7.042,commodities_top_jan_2026,2026-01-29,72
327,29M.AX,29Metals,copper,mid,0.26,-47.47,-8.77,-38.7,0.88,-36.27,STRONG_UP,-55.56,-27.82,-27.74,-47.47,0.0,HIGH,1.7768,PROGRESS,0,-7.158,commodities_top_jan_2026,2026-01-29,72
328,CY5.AX,Cygnus Metals,copper,small,0.125,-46.81,-8.77,-38.04,-3.46,-10.34,STRONG_UP,-53.19,-27.82,-25.37,-46.81,1.25,LOW,0.3962,-,0,-7.23,commodities_top_jan_2026,2026-01-29,72
329,LCID,LUCID GROUP INC,lithium,mid,6.34,-44.04,-8.77,-35.27,-17.39,-29.04,STRONG_UP,-49.16,-27.82,-21.34,-44.04,0.0,MED,1.0682,EARLY,0,-7.706,commodities_top_jan_2026,2026-01-29,72
330,PLG,Platinum Group Metals,platinum,small,1.78,-46.06,-8.77,-37.29,-9.86,-5.13,FLAT,-51.21,-27.82,-23.39,-46.06,0.0,LOW,0.4575,-,0,-7.899,commodities_top_jan_2026,2026-01-29,72
331,EU,Encore Energy Corp,uranium,small,1.66,-53.37,-8.77,-44.6,-22.91,-9.68,FLAT,-53.37,-27.82,-25.55,-53.37,6.45,HIGH,2.7371,-,0,-8.24,commodities_top_jan_2026,2026-01-29,72
332,PEN.AX,Peninsula Energy Ord Shs,uranium,small,0.42,-56.02,-8.77,-47.25,-7.16,-27.93,STRONG_UP,-58.12,-27.82,-30.3,-56.02,4.84,LOW,0.485,-,0,-8.358,commodities_top_jan_2026,2026-01-29,72
333,DV.V,Dolly Varden Silver,gold,small,3.72,-48.9,-8.77,-40.13,-15.28,-48.71,FLAT,-48.9,-27.82,-21.08,-48.9,0.95,HIGH,1.8274,-,0,-9.443,commodities_top_jan_2026,2026-01-29,72
334,MKR.AX,"ticker
MKR.AX    Manuka Resources Ord Shs
MKR.AX    Manuka Resources Ord Shs
Name: name, dtype: object",silver,small,0.092,-58.18,-8.77,-49.41,-7.61,-10.0,STRONG_UP,-60.45,-27.82,-32.63,-58.18,0.0,LOW,0.6586,-,1,-9.975,commodities_top_jan_2026,2026-01-29,72
