ticker,name,commodity,benchmark,type,market_cap,cap_band
HMY,Harmony Gold Mining,gold,GDX,producer,8750997504,large
SLVR.V,Silver Tiger Metals,silver,SIL,producer,401831168,small
SBSW,Sibanye Gold ADR,gold,GDX,producer,8297057792,large
SBSW,Sibanye Gold ADR,palladium,ETPMPD.AX,producer,8297057792,large
VROY.V,Vizsla royalties_financial_services,gold,GDX,royalties_financial_services,165538560,small
AMC.TO,Arizona Metals,gold,GDX,explorer,71607192,small
AAG.V,Aftermath Silver,silver,SIL,explorer,243259008,small
CYL.AX,Catalyst Metals,gold,GDX,producer,1633515776,mid
NFG.V,New Found Gold Corp,gold,GDX,explorer,860000320,mid
APM.TO,Andean Precious Metals,gold,GDX,producer,943489600,mid
TUD.V,Tudor Gold,gold,GDX,explorer,383713248,small
DV.V,Dolly Varden Silver,gold,GDX,explorer,356957952,small
ITRG,Integra Resources,gold,GDX,producer,548048192,mid
ITRG,Integra Resources,silver,SIL,producer,548048192,mid
EXK,Endeavour Silver Corp,silver,SIL,producer,2652728576,mid
CTGO,Contango ORE,gold,GDX,producer,288822080,small
CS.TO,Capstone Copper,copper,COPX,producer,7544928256,large
ASM,Avino Silver & Gold Mines,gold,GDX,producer,968984640,mid
ASM,Avino Silver & Gold Mines,silver,SIL,producer,968984640,mid
GLDG,Goldmining Inc,gold,GDX,explorer,243683520,small
WRN,Western Copper and Gold Ord Shs,gold,GDX,producer,543745856,mid
HYMC,Hycroft Mining Holding,gold,GDX,explorer,3024217344,mid
GGD.TO,Gogold Resources Inc,gold,GDX,producer,1079220224,mid
FF.TO,First Mining Gold,gold,GDX,explorer,635601216,mid
ASL.AX,Andean Silver,silver,SIL,explorer,425098208,small
WAM.V,Western Alaska Minerals,silver,SIL,producer,90095688,small
WAF.AX,West African Resources,gold,GDX,producer,3598844416,mid
FRES.L,Fresnillo Ord Shs,silver,SIL,producer,23580594176,large
HSTR.V,Heliostar Metals Ord Shs,silver,SIL,producer,575661888,mid
FRES.L,Fresnillo Ord Shs,gold,GDX,producer,23580594176,large
HSTR.V,Heliostar Metals Ord Shs,gold,GDX,producer,575661888,mid
USL.AX,Unico Silver,silver,SIL,producer,415747264,small
CDE,Coeur Mining Inc,silver,SIL,producer,18952634368,large
EMR.AX,Emerald Resources,gold,GDX,producer,3448571136,mid
CMM.AX,Capricorn Metals,gold,GDX,producer,4909725696,mid
1818.HK,Zhaojin Mining,gold,GDX,producer,106626031616,large
DSV.TO,Discovery Silver Corp,silver,SIL,producer,6555687936,large
GTWO.TO,G2 Golfields,gold,GDX,producer,1322158208,mid
NGD,New Gold Inc,gold,GDX,producer,7213915648,large
PSAB.JK,J Resources Asia,gold,GDX,producer,13362299666432,large
NST.AX,Northern Star Resources,gold,GDX,producer,26897823744,large
USAS,Americas Gold & Silver,gold,GDX,producer,1866141312,mid
WGX.TO,Westgold Resources,gold,GDX,producer,4869391872,mid
KGH.WA,KGHM Polska Miedz Ord Shs,silver,SIL,producer,52800000000,large
KGH.WA,KGHM Polska Miedz Ord Shs,copper,COPX,producer,52800000000,large
EGO,Eldorado Gold Corp,gold,GDX,producer,6591041536,large
GMD.AX,Genesis Minerals,gold,GDX,producer,6979625472,large
DC,Dakota Gold Corp,gold,GDX,explorer,584653824,mid
CMCL,Caledonia Mining Corp Plc,gold,GDX,producer,430882784,small
CUU.V,Copper Fox Metals,copper,COPX,producer,322437504,small
DRD,Drdgold Ltd,gold,GDX,producer,2412177152,mid
AYA.TO,Aya Gold & Silver,gold,GDX,producer,2599615488,mid
AMI.AX,Aurelia Metals,gold,GDX,producer,406416448,small
AMI.AX,Aurelia Metals,copper,COPX,producer,406416448,small
GORO,Gold Resources Corp.,gold,GDX,producer,173188976,small
WVM.V,West Vault Mining Ord Shs,gold,GDX,explorer,102651432,small
FPC.V,Falco Resources,gold,GDX,explorer,121582528,small
KGC,Kinross Gold Corp,gold,GDX,producer,33569585152,large
GROY,Gold Royalty Corp,gold,GDX,royalties_financial_services,735308480,mid
NEXA,Nexa Resources S.A.,copper,COPX,producer,1274059392,mid
RMS.AX,Ramelius Resources,gold,GDX,producer,7033564160,large
GAU,Galiano Gold,gold,GDX,producer,584693952,mid
B,Barrick Mining,gold,GDX,producer,64094924800,large
B,Barrick Mining,copper,COPX,producer,64094924800,large
HBM,Hudbay Minerals Inc,copper,COPX,producer,7520864256,large
HBM,Hudbay Minerals Inc,gold,GDX,producer,7520864256,large
PRU.AX,Perseus Mining,gold,GDX,producer,6768270848,large
SVM,Silvercorp Metals,silver,SIL,producer,2162055424,mid
TXG.TO,Torex Gold Resources,gold,GDX,producer,5484467712,large
GGP.L,Greatland Resources,gold,GDX,producer,3374700032,mid
GGP.L,Greatland Resources,copper,COPX,producer,3374700032,mid
ARTG.V,Artemis Gold Inc,gold,GDX,producer,7802615808,large
VAU.AX,Vault Minerals,gold,GDX,producer,4185527040,mid
SIL,Global X Silver Miners ETF,silver,benchmark,ETF,,ETF
BRC.V,Blackrock Silver,silver,SIL,explorer,457847200,small
BRC.V,Blackrock Silver,gold,GDX,explorer,457847200,small
SVL.AX,Silver Mines Ord Shs,silver,SIL,explorer,365954848,small
OBM.AX,ORA Banda Mining,gold,GDX,explorer,2192543744,mid
GFI,Gold Fields Ltd,gold,GDX,producer,36391686144,large
SA,Seabridge Gold Inc,gold,GDX,explorer,2764013056,mid
LUG.TO,Lundin Gold Inc,gold,GDX,producer,23450525696,large
PPTA.TO,Perpetua Resources,gold,GDX,explorer,4312679936,mid
GENM.TO,Generation Mining Ltd,copper,COPX,explorer,181795248,small
GENM.TO,Generation Mining Ltd,palladium,ETPMPD.AX,explorer,181795248,small
TGB,Taseko Mines Ltd.,copper,COPX,producer,2172760576,mid
MUX,McEwen Mining Inc,gold,GDX,producer,1126036096,mid
MUX,McEwen Mining Inc,silver,SIL,producer,1126036096,mid
PAAS,Pan American Silver,silver,SIL,producer,21035487232,large
KNT.TO,K92 Mining Inc,gold,GDX,explorer,5455452160,large
FISH.V,Sailfish Royalty Corp.,gold,GDX,royalties_financial_services,261553344,small
SVRS.V,Silver Storm Mining,silver,SIL,producer,351877696,small
AGMR.TO,Silver Mountain Resources,silver,SIL,explorer,218760688,small
NEM,Newmont Corp,gold,GDX,producer,108056854528,large
SFR.AX,Sandfire Resources Ord Shs,copper,COPX,producer,7646976512,large
FSM,Fortuna Mining,gold,GDX,producer,2832032000,mid
FSM,Fortuna Mining,silver,SIL,producer,2832032000,mid
RGLD,Royal Gold Inc,gold,GDX,royalties_financial_services,19284119552,large
ORLA,Orla Mining Ltd,gold,GDX,producer,4867354112,mid
ASA,ASA Gold & Precious Metals,gold,GDX,royalties_financial_services,1075610496,mid
AG,First Majestic Silver,silver,SIL,producer,9912059904,large
BGL.AX,Bellevue Gold,gold,GDX,producer,2094371072,mid
OR,Osisko Gold royalties_financial_services,gold,GDX,royalties_financial_services,6539398656,large
AU,Anglo Gold Ashanti,gold,GDX,producer,43335315456,large
KCN.AX,Kingsgate Consolidated Ord Shs,gold,GDX,producer,1234640896,mid
KCN.AX,Kingsgate Consolidated Ord Shs,silver,SIL,producer,1234640896,mid
EQX,Equinox Gold Corp,gold,GDX,producer,9929501696,large
EVN.AX,Evolution Mining,gold,GDX,producer,26195013632,large
MTA,Metalla Royalty & Str.,gold,GDX,royalties_financial_services,639599168,mid
BTG,B2gold Corp,gold,GDX,producer,5534161408,large
ARIS,Aris Mining Corp,gold,GDX,producer,3451638016,mid
IAUX,I-80 Gold Corp,gold,GDX,producer,1149123072,mid
CNL,Collective Mining,gold,GDX,explorer,1309790592,mid
RRL.AX,Regis Resources,gold,GDX,producer,4846414336,mid
MAH.AX,Machahon Holdings,gold,GDX,royalties_financial_services,1594689408,mid
TFPM,Triple Flag Precious Metals,gold,GDX,royalties_financial_services,6626955776,large
OGC.TO,Oceanagold Corp,gold,GDX,explorer,9513647104,large
MKO.V,Mako Mining Corp,gold,GDX,producer,716084096,mid
WDO.TO,Wesdome Gold Mines,gold,GDX,explorer,3408822016,mid
IAG,Iamgold Corp,gold,GDX,producer,10098174976,large
BVN,Buenaventura Mining,gold,GDX,producer,8165678080,large
NEWP,New Pacific Metals,silver,SIL,explorer,677620544,mid
WPM,Wheaton Precious Metals,gold,GDX,royalties_financial_services,54918639616,large
WPM,Wheaton Precious Metals,silver,SIL,royalties_financial_services,54918639616,large
WPM,Wheaton Precious Metals,platinum,ETPMPT.AX,royalties_financial_services,54918639616,large
WPM,Wheaton Precious Metals,palladium,ETPMPD.AX,royalties_financial_services,54918639616,large
RUP.TO,Rupert Resources,gold,GDX,explorer,1412729344,mid
CGAU,Centerra Gold Inc,gold,GDX,producer,3279014656,mid
ODV,Osisko Development,gold,GDX,producer,884569920,mid
ALK.AX,Alkane Resources,gold,GDX,producer,2008321152,mid
ABRA.TO,AbraSilver Resources,silver,SIL,explorer,1769866240,mid
EDV.L,Endeavour Mining,gold,GDX,producer,9982009344,large
ABRA.TO,AbraSilver Resources,gold,GDX,explorer,1769866240,mid
ABRA.TO,AbraSilver Resources,copper,COPX,explorer,1769866240,mid
AEM,Agnico Eagle Mines,gold,GDX,producer,92053118976,large
PDI.AX,Predictive Discovery,gold,GDX,explorer,2016106368,mid
GMIN.TO,G Mining Venture,gold,GDX,explorer,9261523968,large
DPM.TO,Dundee Precious Metals,gold,GDX,explorer,9648671744,large
BOL.ST,Boliden Ord Shs,gold,GDX,producer,162308931584,large
BOL.ST,Boliden Ord Shs,silver,SIL,producer,162308931584,large
BOL.ST,Boliden Ord Shs,copper,COPX,producer,162308931584,large
FNV,Franco-Nevada Corp,gold,GDX,royalties_financial_services,44519419904,large
SKE,Skeena Resources Ltd,gold,GDX,producer,3331277824,mid
SKE,Skeena Resources Ltd,silver,SIL,producer,3331277824,mid
PAF.L,Pan African Resources,gold,GDX,producer,2607125248,mid
STK.AX,Strickland Metals,gold,GDX,explorer,526373728,mid
010130.KS,Korea Zinc Ord Shs,copper,COPX,producer,28602670252032,large
S32.AX,South32 Ord Shs,copper,COPX,producer,18418262016,large
THM,International Tower Hill Mines,gold,GDX,explorer,548613632,mid
600547.SS,Shandong Gold Ord. A,gold,GDX,producer,182368829440,large
RSG.AX,Resolute Mining,gold,GDX,producer,2874826752,mid
NG,Novagold Resources,gold,GDX,producer,3549394176,mid
LGD.TO,Liberty Gold Corp,gold,GDX,producer,557317376,mid
AGI,Alamos Gold Inc,gold,GDX,producer,17227302912,large
TAU.V,Thesis Gold Inc A,gold,GDX,producer,723483136,mid
SSRM,SSR Mining Inc,gold,GDX,producer,4969294336,mid
AUGO,Aura Minerals,gold,GDX,producer,5548361728,large
AMM.V,Almaden Minerals,gold,GDX,explorer,31593532,small
MFRISCOA-1.MX,Minera Frisco Sab De Cv,gold,GDX,explorer,54411923456,large
3939.HK,Wanguo Gold GP,gold,GDX,producer,55139344384,large
MAU.TO,Montage Gold,gold,GDX,explorer,4641483264,mid
600489.SS,Zhongjin Gold Ord. A,gold,GDX,producer,123897298944,large
PZG,Paramount Gold Nevada Ord Shs,gold,GDX,producer,137453712,small
600916.SS,China Gold Ord. A,gold,GDX,producer,15875999744,large
OM.TO,Osisko Metals,copper,COPX,explorer,784990912,mid
600988.SS,Chifeng Gold Ord. A,gold,GDX,producer,72975794176,large
EMAS.JK,Merdeka Gold Resources,gold,GDX,producer,126321464180736,large
TRX,TRX Gold,gold,GDX,producer,429792032,small
DBG.V,Doubleview Gold,gold,GDX,explorer,425672384,small
SSRM,SSR Mining Inc,silver,SIL,producer,4969294336,mid
AUGO,Aura Minerals,copper,COPX,producer,5548361728,large
SS1.AX,Sun Silver,silver,SIL,producer,270497536,small
ZIM.AX,Zimplats Holdings,platinum,ETPMPT.AX,producer,1885811584,mid
SPD.AX,Southern Palladium Limited,palladium,ETPMPD.AX,producer,182034336,small
BML.ax,Boab Metals Ltd,silver,SIL,producer,253595872,small
MMA.AX,Maronan Metals ltd,silver,SIL,producer,88006472,small
ETPMPT.AX,Global X physical Platinum,platinum,benchmark,ETF,,ETF
ETPMPD.AX,Global X physical Palladium,palladium,benchmark,ETF,,ETF
RPH1.SG,Anglo American Platinum,platinum,ETPMPT.AX,producer,,small
RPH1.SG,Anglo American Platinum,palladium,ETPMPD.AX,producer,,small
IMPUY,Impala Platinum,palladium,ETPMPD.AX,producer,12020380672,large
7JR.MU,Northam Platinum,palladium,ETPMPD.AX,producer,,small
IVPAF,Ivanhoe Mines Ltd,palladium,ETPMPD.AX,producer,11594503168,large
CHN.AX,Challice Mining,palladium,ETPMPD.AX,producer,560879680,mid
IPT.AX,Impact Minerals,platinum,ETPMPT.AX,explorer,237319792,small
POD.AX,Podium Minerals,platinum,ETPMPT.AX,explorer,50471324,small
LIT,Global X Lithium and Battery Tech ETF,lithium,benchmark,ETF,,ETF
RIO,RIO TINTO PLC-SPON ADR,lithium,LIT,producer,141065584640,large
ALB,ALBEMARLE CORP,lithium,LIT,producer,20866027520,large
SQM,QUIMICA Y MINERA CHIL-SP ADR,lithium,LIT,producer,21976975360,large
002460.sz,GANFENG LITHIUM GROUP CO L-A,lithium,LIT,producer,147271811072,large
300750.SZ,CONTEMPORARY AMPEREX TECHN-A,lithium,LIT,producer,1817560875008,large
PLS.AX,PLS GROUP LTD,lithium,LIT,producer,15847317504,large
1211.HK,BYD CO LTD-H,lithium,LIT,producer,976451796992,large
300014.SZ,EVE ENERGY CO LTD-A,lithium,LIT,producer,145395892224,large
TSLA,TESLA INC,lithium,LIT,producer,1437294002176,large
002466.SZ,TIANQI LITHIUM CORP-A,lithium,LIT,producer,90840489984,large
002709.SZ,GUANGZHOU TINCI MATERIALS -A,lithium,LIT,producer,87457341440,large
ENS,ENERSYS,lithium,LIT,producer,6538084352,large
300450.SZ,WUXI LEAD INTELLIGENT EQUI-A,lithium,LIT,producer,80814669824,large
MIN.AX,MINERAL RESOURCES LTD,lithium,LIT,producer,11235367936,large
247540.KQ,ECOPRO BM CO LTD,lithium,LIT,producer,19741355802624,large
300207.SZ,SUNWODA ELECTRONIC CO LTD-A,lithium,LIT,producer,50675892224,large
002738.SZ,SINOMINE RESOURCE GROUP CO-A,lithium,LIT,producer,46110547968,large
002812.SZ,YUNNAN ENERGY NEW MATERIAL-A,lithium,LIT,producer,66005192704,large
603659.ss,SHANGHAI PUTAILAI NEW ENERGY,lithium,LIT,producer,68984332288,large
IGO.AX,IGO LTD,lithium,LIT,producer,5929406976,large
LTR.AX,LIONTOWN LTD,lithium,LIT,producer,5499862016,large
066970.KS,L&F CO LTD,lithium,LIT,producer,5417719562240,large
002176.SZ,JIANGXI SPECIAL ELECTRIC -A,lithium,LIT,producer,15902954496,large
LCID,LUCID GROUP INC,lithium,LIT,producer,3394808832,mid
AMG.AS,AMG CRITICAL MATERIALS N.V.,lithium,LIT,producer,1067077568,mid
LAC.TO,LITHIUM AMERICAS CORP,lithium,LIT,producer,1924427520,mid
LAR.TO,LITHIUM ARGENTINA AG,lithium,LIT,producer,1576535040,mid
ELV.AX,ELEVRA LITHIUM LTD,lithium,LIT,producer,1341086464,mid
VUL.AX,VULCAN ENERGY RESOURCES LTD,lithium,LIT,producer,1572301952,mid
SGML,SIGMA LITHIUM CORP,lithium,LIT,producer,1189580928,mid
SLI.V,STANDARD LITHIUM LTD,lithium,LIT,producer,1215212800,mid
ERA.PA,ERAMET,lithium,LIT,producer,1355256704,mid
PMET.TO,PMET RESOURCES INC,lithium,LIT,producer,760215296,mid
EUR.AX,EUROPEAN LITHIUM LTD,lithium,LIT,producer,417504512,small
INR.AX,IONEER LTD,lithium,LIT,producer,353582912,small
SGML,Sigma Lithium Corp,lithium,LIT,producer,1189580928,mid
GEV,GE Vernova Inc,lithium,LIT,producer,246741516288,large
5802.T,Sumitomo Electric Industries,lithium,LIT,producer,7927870521344,large
ENR.DE,Siemens Energy AG,lithium,LIT,producer,129584644096,large
2308.TW,Delta Electronics Inc,lithium,LIT,producer,4026192363520,large
SEDG,Solar Edge Technologies inc.,lithium,LIT,producer,2877660928,mid
0666.HK,REPT Bettero Energy Co,lithium,LIT,producer,38535053312,large
ELVR,ELEVRA LITHIUM LTD,lithium,LIT,producer,901722944,mid
CXO.AX,Core Lithium,lithium,LIT,producer,641619712,mid
GDX,VanEck Gold Miners ETF,gold,benchmark,ETF,,ETF
