rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
59,GGP.AX,Greatland Resources Limited,Gold,large,10.41,-1.98,-5.44,3.46,-8.62,-0.08,STRONG_DOWN,-36.89,-30.84,-6.05,-27.96,58.55,HIGH,1.9286,-,0,20.764,current,2025-12-25,63
60,WSR.AX,Westar Resources Limited,Gold,small,0.006,0.0,-5.44,5.44,4.97,8.06,FLAT,-31.25,-30.84,-0.41,-25.0,59.87,LOW,0.0315,-,0,20.26,current,2025-12-25,63
61,FAL.AX,Falcon Metals Limited,Gold,small,0.56,-8.2,-5.44,-2.76,7.87,0.12,STRONG_UP,-49.72,-30.84,-18.88,-37.43,51.97,LOW,0.4191,-,0,20.151,current,2025-12-25,63
62,MDI.AX,Middle Island Resources Limited,Gold,small,0.027,-12.9,-5.44,-7.46,-22.31,-29.44,FLAT,-60.66,-30.84,-29.82,-55.74,46.05,MED,1.4035,-,0,19.777,current,2025-12-25,63
63,STK.AX,Strickland Metals Limited,Gold,mid,0.2,0.0,-5.44,5.44,6.99,9.3,FLAT,-28.57,-30.84,2.27,-18.37,59.87,LOW,0.6726,-,1,19.456,current,2025-12-25,63
64,DPM.AX,DPM Metals Inc.,Gold,large,47.32,-1.48,-5.44,3.96,-0.33,3.6,STRONG_DOWN,-30.84,-30.84,0.0,-22.43,59.21,HIGH,2.7506,-,0,19.347,current,2025-12-25,63
65,SBM.AX,St Barbara Limited,Gold,mid,0.57,-5.0,-5.44,0.44,-1.42,-10.2,FLAT,-38.37,-30.84,-7.53,-33.72,55.26,HIGH,1.5283,-,1,19.013,current,2025-12-25,63
66,NEM.AX,Newmont Corporation,Gold,large,149.23,-3.89,-5.44,1.55,-2.09,7.77,FLAT,-29.94,-30.84,0.9,-20.7,57.24,HIGH,2.2233,-,1,17.522,current,2025-12-25,63
67,NSM.AX,North Stawell Minerals Limited,Gold,small,0.028,0.0,-5.44,5.44,-10.79,18.9,FLAT,-20.0,-30.84,10.84,-20.0,59.87,LOW,0.1863,-,0,16.885,current,2025-12-25,63
68,PRX.AX,Prodigy Gold NL,Gold,small,0.06,0.0,-5.44,5.44,-4.13,14.65,FLAT,-20.0,-30.84,10.84,-14.29,59.87,LOW,0.1842,-,1,16.885,current,2025-12-25,63
69,TBR.AX,Tribune Resources Ltd,Gold,small,5.69,-4.37,-5.44,1.07,4.46,11.95,FLAT,-25.78,-30.84,5.06,-19.41,56.58,LOW,0.4649,-,0,15.884,current,2025-12-25,63
70,AVW.AX,Avira Resources Limited,Gold,small,0.01,-9.09,-5.44,-3.65,-13.22,-10.99,STRONG_DOWN,-37.5,-30.84,-6.66,-37.5,50.66,LOW,0.3657,-,0,15.736,current,2025-12-25,63
71,GBM.AX,GBM Resources Limited,Gold,small,0.029,-9.38,-5.44,-3.94,7.41,2.9,STRONG_UP,-38.1,-30.84,-7.26,-30.95,50.0,LOW,0.6965,-,0,15.602,current,2025-12-25,63
72,NMG.AX,New Murchison Gold Limited,Gold,small,0.043,-14.0,-5.44,-8.56,-4.13,-13.47,FLAT,-50.67,-30.84,-19.83,-42.67,42.76,MED,1.1998,-,1,15.353,current,2025-12-25,63
73,MOH.AX,Moho Resources Limited,Gold,small,0.0075,-16.67,-5.44,-11.23,3.02,29.49,FLAT,-57.14,-30.84,-26.3,-46.43,37.5,HIGH,1.9236,-,1,14.648,current,2025-12-25,63
74,STN.AX,Saturn Metals Limited,Gold,small,0.445,-11.88,-5.44,-6.44,7.12,6.31,STRONG_UP,-40.0,-30.84,-9.16,-28.8,47.37,MED,1.0394,-,0,14.383,current,2025-12-25,63
75,MAN.AX,Mandrake Resources Limited,Gold,small,0.021,-4.55,-5.44,0.89,-12.82,13.65,FLAT,-19.23,-30.84,11.61,-19.23,55.92,MED,1.3198,-,0,13.649,current,2025-12-25,63
76,RMS.AX,Ramelius Resources Limited,Gold,large,3.68,-11.1,-5.44,-5.66,-2.19,0.23,FLAT,-33.84,-30.84,-3.0,-26.44,49.34,MED,1.1701,-,1,13.438,current,2025-12-25,63
77,WWI.AX,West Wits Mining Limited,Gold,small,0.065,-12.16,-5.44,-6.72,-11.27,0.66,FLAT,-37.63,-30.84,-6.79,-30.11,46.71,LOW,0.8073,-,1,13.362,current,2025-12-25,63
78,A8G.AX,Australasian Metals Limited,Gold,small,0.079,-5.95,-5.44,-0.51,-4.13,14.21,FLAT,-21.0,-30.84,9.84,-21.0,54.61,LOW,0.0,-,0,13.227,current,2025-12-25,63
79,ODY.AX,Odyssey Gold Limited,Gold,small,0.032,-13.51,-5.44,-8.07,6.22,13.77,FLAT,-40.91,-30.84,-10.07,-27.27,44.74,HIGH,2.6494,-,1,13.215,current,2025-12-25,63
80,AQI.AX,Alicanto Minerals Limited,Gold,small,1.475,-15.23,-5.44,-9.79,-6.12,-14.08,FLAT,-47.03,-30.84,-16.19,-37.5,40.13,MED,1.3016,-,1,12.98,current,2025-12-25,63
81,REZ.AX,Resources & Energy Group Limited,Gold,small,0.013,-7.14,-5.44,-1.7,-4.13,9.01,FLAT,-23.53,-30.84,7.31,-23.53,52.63,LOW,0.4068,-,0,12.916,current,2025-12-25,63
82,AGC.AX,Australian Gold and Copper Ltd,Gold,small,0.205,-16.33,-5.44,-10.89,6.69,9.58,FLAT,-49.18,-30.84,-18.34,-32.79,38.82,LOW,0.8916,-,1,12.792,current,2025-12-25,63
83,FG1.AX,Flynn Gold Limited,Gold,small,0.021,-8.7,-5.44,-3.26,-12.82,6.35,FLAT,-25.93,-30.84,4.91,-22.22,51.32,MED,1.2807,-,0,12.619,current,2025-12-25,63
84,WGX.AX,Westgold Resources Limited,Gold,large,5.62,-13.27,-5.44,-7.83,0.34,-5.69,STRONG_UP,-37.64,-30.84,-6.8,-30.19,45.39,HIGH,1.9058,-,1,12.525,current,2025-12-25,63
85,PRU.AX,Perseus Mining Limited,Gold,large,5.02,-11.33,-5.44,-5.89,1.34,6.03,FLAT,-28.47,-30.84,2.37,-21.26,48.68,MED,1.1339,-,1,11.537,current,2025-12-25,63
86,RRL.AX,Regis Resources Limited,Gold,mid,6.4,-15.13,-5.44,-9.69,-3.5,-8.46,STRONG_UP,-39.58,-30.84,-8.74,-33.22,41.45,HIGH,1.6199,-,1,11.181,current,2025-12-25,63
87,GCR.AX,Golden Cross Resources Ltd,Gold,small,0.002,0.0,-5.44,5.44,-4.13,22.35,FLAT,0.0,-30.84,30.84,0.0,59.87,LOW,,-,1,10.885,current,2025-12-25,63
88,CLZ.AX,Classic Minerals Limited,Gold,small,0.001,0.0,-5.44,5.44,-4.13,22.35,FLAT,0.0,-30.84,30.84,0.0,59.87,LOW,,-,1,10.885,current,2025-12-25,63
89,SRR.AX,Sarama Resources Limited,Gold,small,0.038,-11.63,-5.44,-6.19,-6.69,10.72,FLAT,-26.92,-30.84,3.92,-26.92,48.03,LOW,0.0467,-,0,10.757,current,2025-12-25,63
90,DTM.AX,Dart Mining NL,Gold,small,0.032,-13.51,-5.44,-8.07,-12.7,2.35,FLAT,-31.91,-30.84,-1.07,-31.91,44.74,LOW,0.1041,-,0,10.515,current,2025-12-25,63
91,KAL.AX,Kalgoorlie Gold Mining Limited,Gold,small,0.042,-15.15,-5.44,-9.71,6.4,17.8,FLAT,-34.62,-30.84,-3.78,-19.23,40.79,LOW,0.7725,-,0,9.487,current,2025-12-25,63
92,YRL.AX,Yandal Resources Limited,Gold,small,0.2,-14.89,-5.44,-9.45,-4.13,15.37,FLAT,-32.14,-30.84,-1.3,-28.57,42.11,LOW,0.1944,-,0,9.243,current,2025-12-25,63
93,MM8.AX,Medallion Metals Limited,Gold,small,0.38,-16.48,-5.44,-11.04,-4.13,9.7,FLAT,-37.74,-30.84,-6.9,-28.3,38.16,LOW,0.3807,-,0,9.102,current,2025-12-25,63
94,GML.AX,Gateway Mining Limited,Gold,small,0.062,-13.89,-5.44,-8.45,-7.25,-0.15,FLAT,-28.4,-30.84,2.44,-23.46,43.42,LOW,0.9217,-,1,8.914,current,2025-12-25,63
95,KCN.AX,Kingsgate Consolidated Limited,Gold,mid,4.62,-17.46,-5.44,-12.02,-22.79,-6.06,FLAT,-40.36,-30.84,-9.52,-35.92,35.53,LOW,0.8325,-,1,8.707,current,2025-12-25,63
96,CYL.AX,Catalyst Metals Limited,Gold,mid,6.26,-17.63,-5.44,-12.19,-1.0,-4.95,STRONG_UP,-41.6,-30.84,-10.76,-35.06,34.21,HIGH,1.5317,EARLY,0,8.615,current,2025-12-25,63
97,SNG.AX,Siren Gold Limited,Gold,small,0.08,-17.53,-5.44,-12.09,-17.17,7.45,FLAT,-40.8,-30.84,-9.96,-36.0,34.87,LOW,0.2455,-,0,8.613,current,2025-12-25,63
98,OZZ.AX,OZZ Resources Limited,Gold,small,0.0516,-6.09,-5.44,-0.65,-4.12,16.26,FLAT,-6.1,-30.84,24.74,-6.09,53.95,LOW,,-,0,8.503,current,2025-12-25,63
99,AAJ.AX,Aruma Resources Limited,Gold,small,0.011,-26.67,-5.44,-21.23,-4.13,-4.32,STRONG_UP,-68.97,-30.84,-38.13,-62.07,17.11,LOW,0.526,-,0,8.08,current,2025-12-25,63
100,GMD.AX,Genesis Minerals Limited,Gold,large,6.11,-17.32,-5.44,-11.88,6.76,6.16,STRONG_UP,-36.46,-30.84,-5.62,-27.43,36.84,HIGH,1.651,-,1,7.986,current,2025-12-25,63
101,HAW.AX,Hawthorn Resources Limited,Gold,small,0.086,-18.1,-5.44,-12.66,-5.27,-5.99,STRONG_UP,-40.69,-30.84,-9.85,-40.69,33.55,LOW,0.0782,-,1,7.956,current,2025-12-25,63
102,BGL.AX,Bellevue Gold Limited,Gold,mid,1.405,-17.35,-5.44,-11.91,-8.55,-0.88,FLAT,-36.93,-30.84,-6.09,-29.4,36.18,LOW,0.9389,-,1,7.917,current,2025-12-25,63
103,G11.AX,G11 Resources Limited,Gold,small,0.27,-15.62,-5.44,-10.18,-14.13,6.72,FLAT,-30.77,-30.84,0.07,-30.77,39.47,LOW,0.7699,-,1,7.748,current,2025-12-25,63
104,BHL.AX,Black Horse Mining Limited,Gold,small,0.295,-25.32,-5.44,-19.88,7.2,-7.42,STRONG_UP,-62.81,-30.84,-31.97,-51.24,19.74,LOW,0.7206,-,0,7.561,current,2025-12-25,63
105,DMG.AX,Dragon Mountain Gold,Gold,small,0.007,-22.22,-5.44,-16.78,-26.35,-19.32,STRONG_DOWN,-50.0,-30.84,-19.16,-50.0,26.97,LOW,0.4201,-,0,7.127,current,2025-12-25,63
106,HRZ.AX,Horizon Minerals Limited,Gold,small,0.93,-21.19,-5.44,-15.75,7.25,6.13,STRONG_UP,-46.03,-30.84,-15.19,-38.41,28.95,LOW,0.7382,-,0,6.942,current,2025-12-25,63
107,BC8.AX,Black Cat Syndicate Limited,Gold,mid,0.995,-19.43,-5.44,-13.99,-7.52,-8.56,STRONG_UP,-41.51,-30.84,-10.67,-37.42,30.92,MED,1.1562,EARLY,0,6.881,current,2025-12-25,63
108,GG1.AX,Green & Gold Minerals Limited,Gold,small,0.15,-18.92,-5.44,-13.48,-4.13,8.06,FLAT,-37.78,-30.84,-6.94,-33.33,31.58,HIGH,3.6085,-,0,6.164,current,2025-12-25,63
109,ALY.AX,Alchemy Resources Limited,Gold,small,0.009,-18.18,-5.44,-12.74,8.37,12.35,FLAT,-33.33,-30.84,-2.49,-25.0,32.89,LOW,0.2636,-,1,5.518,current,2025-12-25,63
110,AUC.AX,Ausgold Limited,Gold,small,0.89,-21.93,-5.44,-16.49,-9.44,4.0,FLAT,-42.31,-30.84,-11.47,-31.54,28.29,LOW,0.6259,-,0,5.332,current,2025-12-25,63
111,GA8.AX,GoldArc Resources Limited,Gold,small,0.051,-22.73,-5.44,-17.29,-4.13,2.03,FLAT,-44.74,-30.84,-13.9,-32.89,26.32,MED,1.0972,-,0,5.15,current,2025-12-25,63
112,SMI.AX,Santana Minerals Limited,Gold,mid,0.745,-19.46,-5.44,-14.02,-7.37,6.53,FLAT,-36.32,-30.84,-5.48,-36.32,30.26,MED,1.405,EARLY,0,5.114,current,2025-12-25,63
113,CY5.AX,Cygnus Metals Limited,Gold,small,0.135,-25.0,-5.44,-19.56,3.87,-11.8,STRONG_UP,-52.0,-30.84,-21.16,-46.0,21.71,LOW,0.3208,-,1,5.037,current,2025-12-25,63
114,FFM.AX,FireFly Metals Ltd,Gold,mid,1.685,-20.89,-5.44,-15.45,3.54,3.36,STRONG_UP,-37.28,-30.84,-6.44,-26.1,29.61,MED,1.151,-,1,4.635,current,2025-12-25,63
115,KRM.AX,Kingsrose Mining,Gold,small,0.032,-21.95,-5.44,-16.51,-7.16,4.4,FLAT,-40.0,-30.84,-9.16,-36.0,27.63,HIGH,1.9948,-,0,4.433,current,2025-12-25,63
116,MHC.AX,Manhattan Gold Corporation Limited,Gold,small,0.022,-18.52,-5.44,-13.08,-12.46,14.01,FLAT,-30.0,-30.84,0.84,-26.67,32.24,LOW,0.4753,-,0,4.188,current,2025-12-25,63
117,FXG.AX,Felix Gold Limited,Gold,small,0.28,-24.32,-5.44,-18.88,20.32,7.19,STRONG_UP,-45.12,-30.84,-14.28,-31.71,23.68,LOW,0.7159,-,0,3.836,current,2025-12-25,63
118,WGR.AX,Western Gold Resources Limited,Gold,small,0.145,-25.64,-5.44,-20.2,-21.27,-5.15,FLAT,-50.48,-30.84,-19.64,-44.76,19.08,LOW,0.367,-,0,3.536,current,2025-12-25,63
119,VAU.AX,Vault Minerals Limited,Gold,mid,4.02,-24.93,-5.44,-19.49,-6.79,-6.77,FLAT,-41.81,-30.84,-10.97,-35.2,22.37,HIGH,1.6387,EARLY,0,2.206,current,2025-12-25,63
120,USL.AX,Unico Silver Limited,Gold,small,0.66,-27.47,-5.44,-22.03,-2.59,-3.5,STRONG_UP,-50.88,-30.84,-20.04,-42.11,15.79,LOW,0.9457,-,1,1.937,current,2025-12-25,63
121,SX2.AX,Southern Cross Gold Consolidated Ltd,Gold,mid,8.89,-23.76,-5.44,-18.32,-4.01,2.22,FLAT,-34.88,-30.84,-4.04,-26.16,25.0,LOW,0.7984,-,1,1.384,current,2025-12-25,63
122,CMM.AX,Capricorn Metals Ltd,Gold,mid,10.75,-25.14,-5.44,-19.7,-1.55,0.57,FLAT,-41.12,-30.84,-10.28,-32.74,20.39,MED,1.2959,EARLY,0,1.321,current,2025-12-25,63
